Virus,taxonomy,vir.class,Host genome,Host taxonomy,Main method,Confidence score,Additional methods,d,p,c,o,f,g,s,lifestyle
F_S11C7261,Inoviridae,Faserviricetes,S-TR17L-nonMP.12.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,75.2,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-nonMP.14.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,97.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,A-TN6-nonMP.10.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-nonMP.6.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,A-DB2-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.3.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,94.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN6-nonMP.1.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,89.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR17L-nonMP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum_A;s__,iPHoP-RF,89.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Noviherbaspirillum_A,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,M-TSR1-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum_A;s__,iPHoP-RF,89.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Noviherbaspirillum_A,s__,temperate
F_S11C825,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,76.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,temperate
F_S11C906,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-DB2.1.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,95.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,temperate
F_S11C906,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL4-nonMP.1.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,93.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,temperate
F_S11C906,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR19I-MP.3.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,93.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,temperate
F_S11C906,Caudoviricetes_unclassified_family,Caudoviricetes,M-KN5-nonMP.16.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,92.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,temperate
F_S11C906,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12D-nonMP.9.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,91.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,temperate
F_S11C906,Caudoviricetes_unclassified_family,Caudoviricetes,F-W-IN2.1.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,91.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,temperate
F_S11C906,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12B-nonMP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,85.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,temperate
F_S12C1119,Caudoviricetes_unclassified_family,Caudoviricetes,M-TSR1-MP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__,iPHoP-RF,79.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Variovorax,s__,virulent
F_S12C1119,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12-nonMP.5.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__,iPHoP-RF,78,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ramlibacter,s__,virulent
F_S12C1646,Caudoviricetes_unclassified_family,Caudoviricetes,S-KN5-MP.36.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,87.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
F_S12C4220,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-nonMP.7.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,83.6,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
F_S12C4220,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-MP.1.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,79.5,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
F_S12C6264,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN2-MP.15.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,87,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S12C6264,Caudoviricetes_unclassified_family,Caudoviricetes,S-TC2-nonMP.18.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,87,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S12C6264,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,83.6,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S12C6264,Caudoviricetes_unclassified_family,Caudoviricetes,A-TN2-MP.3.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,75.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S12C6264,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN2-MP.14.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,75.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S13C1310,Caudoviricetes_unclassified_family,Caudoviricetes,A-TSR1-MP.1.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__,iPHoP-RF,88.9,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__,s__,temperate
F_S13C2275,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-nonMP.6.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__,iPHoP-RF,81.9,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Aeromicrobium,s__,temperate
F_S13C2275,Caudoviricetes_unclassified_family,Caudoviricetes,S-TC2-MP.15.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__IMCC34051;s__,iPHoP-RF,80,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__IMCC34051,s__,temperate
F_S13C2275,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR17L-MP.20.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__,iPHoP-RF,75,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Amaricoccus,s__,temperate
F_S13C3052,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL4-MP.19.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,iPHoP-RF,79.8,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Microvirga,s__,temperate
F_S13C3052,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL2-MP.16.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia;s__,iPHoP-RF,77.1,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Brooklawnia,s__,temperate
F_S13C3052,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL2-nonMP.6.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Ancrocorticia;s__,iPHoP-RF,75.7,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Ancrocorticia,s__,temperate
F_S13C4155,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12D-nonMP.1.rename,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__,iPHoP-RF,83.9,None,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__,virulent
F_S13C4155,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR17L-MP.3.semibin.rename,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__,iPHoP-RF,75.4,None,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__,virulent
F_S13C7417_1,Caudoviricetes_unclassified_family,Caudoviricetes,M-TSR1-MP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__,iPHoP-RF,84.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Variovorax,s__,virulent
F_S13C8219,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12I-nonMP.13.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__,iPHoP-RF,86,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Cellulomonas,s__,virulent
F_S13C8219,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-nonMP.1.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__,iPHoP-RF,80.6,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__Cellulomonas,s__,virulent
F_S13C8219,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR17L-nonMP.23.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__,iPHoP-RF,76.6,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__,f__,g__,s__,virulent
F_S13C8679,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12D-nonMP.1.rename,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__,iPHoP-RF,88.5,None,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__,temperate
F_S13C8679,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR17L-MP.3.semibin.rename,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__,iPHoP-RF,83.6,None,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__,temperate
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-KN5-nonMP.32.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,96.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TC2-nonMP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,96.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR17L-nonMP.8.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,96.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-MP.5.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,95.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12B-nonMP.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,95.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.3.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,93.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,A-DB2-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,92.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,F-KN5-MP.3.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,91.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-nonMP.6.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,91.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12B-MP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__,iPHoP-RF,91.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Pseudoduganella,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR17L-nonMP.3.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,90.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-nonMP.14.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,90.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR19I-MP.33.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,89.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12D-MP.20.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__,iPHoP-RF,89.2,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Pseudoduganella,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TSR1-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,82.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,78.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,virulent
F_S14C1224,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR12B-nonMP.8.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,77.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,virulent
F_S14C1337,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR12I-MP.13.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,77.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S14C1337,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR17L-nonMP.6.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,76.6,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S14C1337,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN2-MP.15.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,76.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S14C1337,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,75.9,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S14C1337,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR19I-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,75.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,virulent
F_S14C1537,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR19I-MP.8.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacter;s__,iPHoP-RF,93.7,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sandaracinobacter,s__,temperate
F_S14C1537,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR12D-nonMP.28.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_B;s__,iPHoP-RF,93.7,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_B,s__,temperate
F_S14C1537,Caudoviricetes_unclassified_family,Caudoviricetes,A-PR7-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__,iPHoP-RF,86.3,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Allosphingosinicella,s__,temperate
F_S14C1537,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR17L-nonMP.6.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__,iPHoP-RF,83.9,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aureimonas,s__,temperate
F_S14C1537,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR19I-MP.21.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__,iPHoP-RF,79.3,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__,temperate
